strata,variable,estimate,lci,uci,type,Stratification
Colorado,overweight,35.552048887845075,34.257982596386896,36.867584667852555,Proportion,state_names
Colorado,obesity,25.03558592295383,23.90275339900071,26.203619821152085,Proportion,state_names
Connecticut,overweight,35.57808814795459,34.04296452394046,37.143452724979575,Proportion,state_names
Connecticut,obesity,30.593759420130194,29.088370097325107,32.14174342071922,Proportion,state_names
Delaware,overweight,33.93648410321543,31.84972384765194,36.08756820738423,Proportion,state_names
Delaware,obesity,37.874576788442766,35.64470366091635,40.156902579212655,Proportion,state_names
District of Columbia,overweight,30.895743941136587,28.73981163781631,33.13819593291713,Proportion,state_names
District of Columbia,obesity,24.288178480797278,22.205752694406613,26.499369933611135,Proportion,state_names
Florida,overweight,34.487120204424635,32.73809113488079,36.2791911333357,Proportion,state_names
Florida,obesity,31.59680341349326,29.851626708477934,33.39543474219046,Proportion,state_names
Georgia,overweight,31.899003596362363,30.39958605162068,33.4368481808717,Proportion,state_names
Georgia,obesity,37.029214950941196,35.43053748125472,38.65684105944223,Proportion,state_names
Hawaii,overweight,33.82177493599266,32.28617341398892,35.39223874097029,Proportion,state_names
Hawaii,obesity,25.889752277957257,24.43205962732785,27.40287767460339,Proportion,state_names
Idaho,overweight,35.355953836860046,33.87390053832938,36.866698747927366,Proportion,state_names
Idaho,obesity,33.18812947005243,31.719848071356218,34.68984630328253,Proportion,state_names
Illinois,overweight,33.8463975476396,31.96381609765898,35.7815445425321,Proportion,state_names
Illinois,obesity,33.34503345783066,31.45709318448575,35.287947032879984,Proportion,state_names
Indiana,overweight,33.32691080449177,32.096948365074,34.580003230784435,Proportion,state_names
Indiana,obesity,37.66308827729558,36.39699394949095,38.946256193086434,Proportion,state_names
Iowa,overweight,33.826157411093064,32.510056779574526,35.16777458916632,Proportion,state_names
Iowa,obesity,37.38535758426237,36.033079834480276,38.757635587547526,Proportion,state_names
Kansas,overweight,33.43555134603562,32.17561659864112,34.71956709558985,Proportion,state_names
Kansas,obesity,35.69504712672248,34.412474603362575,36.99845624407309,Proportion,state_names
Kentucky,overweight,34.136255177059446,31.987458468679144,36.352246872315504,Proportion,state_names
Kentucky,obesity,37.70735250463326,35.552408240070406,39.91202379471369,Proportion,state_names
Louisiana,overweight,31.665954784434813,30.004327367945145,33.37572484434651,Proportion,state_names
Louisiana,obesity,40.0772093936027,38.29825498583719,41.882705932882295,Proportion,state_names
Maine,overweight,33.0315496606899,31.71023552739364,34.380202581966465,Proportion,state_names
Maine,obesity,33.10292337647472,31.75796175235656,34.47606846661052,Proportion,state_names
Maryland,overweight,34.420750733396346,33.182408238424955,35.68062893270847,Proportion,state_names
Maryland,obesity,33.17710398588215,31.941444839213702,34.43637802251448,Proportion,state_names
Massachusetts,overweight,34.68841559404469,33.38538532012772,36.01480742525639,Proportion,state_names
Massachusetts,obesity,27.23405932946174,26.032969459166466,28.46923546866878,Proportion,state_names
Michigan,overweight,32.822255131218434,31.568109167688306,34.101397013827956,Proportion,state_names
Michigan,obesity,34.45966846265447,33.17474537303623,35.76772141229602,Proportion,state_names
Minnesota,overweight,34.86261070505734,33.8521157584265,35.8869047115531,Proportion,state_names
Minnesota,obesity,33.63405932950604,32.624376435031685,34.65891603154381,Proportion,state_names
Mississippi,overweight,32.69882484366388,30.843518384123442,34.6098806564756,Proportion,state_names
Mississippi,obesity,39.450353126718,37.524178625988235,41.409866372002035,Proportion,state_names
Missouri,overweight,33.921349010746844,32.38752049834897,35.48968890239556,Proportion,state_names
Missouri,obesity,36.433845039617864,34.891352839527464,38.004724378710755,Proportion,state_names
Montana,overweight,35.442604569073225,34.01315839167067,36.89853268577606,Proportion,state_names
Montana,obesity,30.518217622443146,29.11931028717581,31.95403257305966,Proportion,state_names
Nebraska,overweight,35.124528496458105,33.56739204235152,36.71397839248005,Proportion,state_names
Nebraska,obesity,35.28563372450627,33.74033894740881,36.862328667694214,Proportion,state_names
Nevada,overweight,33.829725899850004,31.343392731963633,36.4086976440515,Proportion,state_names
Nevada,obesity,33.5414348097985,31.02544084973579,36.15451362187755,Proportion,state_names
New Hampshire,overweight,36.678412170998406,34.87273237445311,38.52228600819141,Proportion,state_names
New Hampshire,obesity,30.244040945827976,28.555475827324855,31.987750138855343,Proportion,state_names
New Jersey,overweight,36.68832930505002,35.0985131218469,38.30765292021982,Proportion,state_names
New Jersey,obesity,29.103995685966304,27.603165875750175,30.65187861626766,Proportion,state_names
New Mexico,overweight,36.88943166617072,34.815342518443614,39.013130655231095,Proportion,state_names
New Mexico,obesity,32.39467508872947,30.456015885965066,34.39570409303299,Proportion,state_names
New York,overweight,33.9274542421247,32.837811052091986,35.034393624272994,Proportion,state_names
New York,obesity,30.09744459348455,29.05621145796867,31.159602132075985,Proportion,state_names
North Carolina,overweight,35.21187717291339,33.304090428107195,37.168047150843485,Proportion,state_names
North Carolina,obesity,34.09724521418815,32.12470183060112,36.12644256765053,Proportion,state_names
North Dakota,overweight,35.601967471165366,33.78056795067248,37.4660099745981,Proportion,state_names
North Dakota,obesity,35.411985663545714,33.59660165982225,37.270406117818204,Proportion,state_names
Ohio,overweight,32.820533602946675,31.712247546614357,33.948296894173,Proportion,state_names
Ohio,obesity,38.10403682017499,36.95519434160992,39.266349677911656,Proportion,state_names
Oklahoma,overweight,32.297376713785006,30.794962203187737,33.83725141923515,Proportion,state_names
Oklahoma,obesity,39.988983131902614,38.40648574697257,41.59265413711597,Proportion,state_names
Oregon,overweight,36.00938094709855,34.40941480550381,37.64104841311743,Proportion,state_names
Oregon,obesity,30.914936063334515,29.436974116655573,32.432996063212634,Proportion,state_names
Pennsylvania,overweight,34.26512456434395,32.17137347092131,36.42196982091298,Proportion,state_names
Pennsylvania,obesity,33.34755457806249,31.247972711303824,35.515335140022735,Proportion,state_names
Rhode Island,overweight,36.527611997781094,34.68367524543487,38.41192894716306,Proportion,state_names
Rhode Island,obesity,30.835992971401353,29.053755621274497,32.67720247423437,Proportion,state_names
South Carolina,overweight,34.80835806605656,33.43956819013515,36.20270236403597,Proportion,state_names
South Carolina,obesity,35.01774785713534,33.63278049812268,36.428442665580356,Proportion,state_names
South Dakota,overweight,35.38745152202715,32.17641922658237,38.73591327044997,Proportion,state_names
South Dakota,obesity,36.75891336987091,33.51627351721398,40.12592890312895,Proportion,state_names
Tennessee,overweight,31.949737601456984,30.22150401274713,33.72902945447909,Proportion,state_names
Tennessee,obesity,38.91200609160111,37.05715724329284,40.79951684013667,Proportion,state_names
Texas,overweight,34.6691358606117,33.121570223881186,36.24981678260182,Proportion,state_names
Texas,obesity,35.50412444205289,33.966571870280745,37.07220241111377,Proportion,state_names
Utah,overweight,34.219224437991045,32.92923763191154,35.53297345571939,Proportion,state_names
Utah,obesity,31.120165041600195,29.85950500748407,32.40945652274873,Proportion,state_names
Vermont,overweight,34.0976165866696,32.627104954364725,35.59938457745045,Proportion,state_names
Vermont,obesity,26.830134659271398,25.43677936094483,28.270875531788818,Proportion,state_names
Virginia,overweight,32.12241190526257,30.78124936925767,33.49373401969434,Proportion,state_names
Virginia,obesity,35.19142991429182,33.81741329419008,36.59040838529651,Proportion,state_names
Washington,overweight,34.55315484277318,33.73968738089669,35.37576400740131,Proportion,state_names
Washington,obesity,31.655209975730525,30.859539517802688,32.46176368489962,Proportion,state_names
West Virginia,overweight,33.368140662620426,31.70886178328108,35.06965845553508,Proportion,state_names
West Virginia,obesity,41.01906291760349,39.269432491484416,42.7917197003059,Proportion,state_names
Wisconsin,overweight,32.9767155703708,31.74394169352609,34.23335291929136,Proportion,state_names
Wisconsin,obesity,37.65096834407824,36.35270159177414,38.96721377832434,Proportion,state_names
Wyoming,overweight,35.62995760345637,33.74931122113193,37.555994027642456,Proportion,state_names
Wyoming,obesity,34.24724005156647,32.34030702632171,36.20644424766557,Proportion,state_names
